sp	POS	nS	nCall	pi	pi_nvar	spAbbr2
NEA	1480001	3	5246	3	3	NEA (N=637)
NEA	1490001	3	4208	3	3	NEA (N=637)
NEA	1500001	3	4251	3	3	NEA (N=637)
NEA	1510001	0	3823	0	0	NEA (N=637)
NEA	1520001	0	4978	0	0	NEA (N=637)
NEA	1530001	0	4299	0	0	NEA (N=637)
NEA	1540001	0	4058	0	0	NEA (N=637)
NEA	1550001	9	3724	9	9	NEA (N=637)
NEA	1560001	1	3302	1	1	NEA (N=637)
NEA	1570001	0	4381	0	0	NEA (N=637)
NEA	1580001	0	2916	0	0	NEA (N=637)
NEA	1590001	3	8051	3	3	NEA (N=637)
NEA	1600001	0	5570	0	0	NEA (N=637)
NEA	1610001	2	3039	2	2	NEA (N=637)
NEA	1620001	0	3352	0	0	NEA (N=637)
NEA	1630001	1	2626	1	1	NEA (N=637)
NEA	1640001	3	4300	3	3	NEA (N=637)
NEA	1650001	1	3175	1	1	NEA (N=637)
NEA	1660001	7	4067	7	7	NEA (N=637)
NEA	1670001	0	3973	0	0	NEA (N=637)
NEA	1680001	3	2921	3	3	NEA (N=637)
NEA	1710001	4	4886	4	4	NEA (N=637)
NEA	1720001	2	4083	2	2	NEA (N=637)
NEA	1730001	5	3026	5	5	NEA (N=637)
NEA	1740001	3	4911	3	3	NEA (N=637)
NEA	1750001	9	6826	9	9	NEA (N=637)
NEA	1760001	14	3225	14	14	NEA (N=637)
NEA	1770001	0	4422	0	0	NEA (N=637)
NEA	1780001	17	6337	17	17	NEA (N=637)
NEA	1790001	13	5560	13	13	NEA (N=637)
NEA	1800001	9	4643	9	9	NEA (N=637)
NEA	1810001	5	2710	5	5	NEA (N=637)
NEA	1820001	8	3403	8	8	NEA (N=637)
NEA	1830001	20	4599	20	20	NEA (N=637)
NEA	1840001	7	3249	7	7	NEA (N=637)
NEA	1850001	7	3847	7	7	NEA (N=637)
NEA	1860001	6	4246	6	6	NEA (N=637)
NEA	1870001	0	4135	0	0	NEA (N=637)
NEA	1880001	1	4702	1	1	NEA (N=637)
NEA	1890001	1	4149	1	1	NEA (N=637)
NEA	1900001	0	4954	0	0	NEA (N=637)
NEA	1910001	6	4270	6	6	NEA (N=637)
NEA	1920001	3	3846	3	3	NEA (N=637)
NEA	1930001	4	5091	4	4	NEA (N=637)
NEA	2210001	2	4528	2	2	NEA (N=637)
NEA	2220001	5	7158	5	5	NEA (N=637)
NEA	2230001	1	5709	1	1	NEA (N=637)
NEA	2240001	1	4156	1	1	NEA (N=637)
NEA	2250001	3	4100	3	3	NEA (N=637)
NEA	2260001	1	5211	1	1	NEA (N=637)
NEA	2270001	0	3573	0	0	NEA (N=637)
NEA	2280001	6	5166	6	6	NEA (N=637)
NEA	2290001	2	5304	2	2	NEA (N=637)
NEA	2300001	1	4215	1	1	NEA (N=637)
NEA	2310001	1	4261	1	1	NEA (N=637)
NEA	2320001	0	4939	0	0	NEA (N=637)
NEA	2330001	0	4483	0	0	NEA (N=637)
NEA	2340001	4	5617	4	4	NEA (N=637)
NEA	2350001	1	4617	1	1	NEA (N=637)
NEA	2360001	1	4667	1	1	NEA (N=637)
NEA	2370001	6	4701	6	6	NEA (N=637)
NEA	2380001	0	5224	0	0	NEA (N=637)
NEA	2390001	3	5689	3	3	NEA (N=637)
NEA	2400001	1	5500	1	1	NEA (N=637)
NEA	2410001	4	6487	4	4	NEA (N=637)
NEA	2420001	0	5397	0	0	NEA (N=637)
NEA	2430001	1	3692	1	1	NEA (N=637)
NEA	2440001	1	3902	1	1	NEA (N=637)
NEA	2480001	1	5031	1	1	NEA (N=637)
NEA	2490001	1	6847	1	1	NEA (N=637)
NEA	2500001	2	5489	2	2	NEA (N=637)
NEA	2510001	0	3495	0	0	NEA (N=637)
NEA	2520001	4	4849	4	4	NEA (N=637)
NEA	2530001	20	4766	20	20	NEA (N=637)
NEA	2540001	2	3925	2	2	NEA (N=637)
NEA	2550001	0	5411	0	0	NEA (N=637)
NEA	2560001	3	6112	3	3	NEA (N=637)
NEA	2570001	5	5788	5	5	NEA (N=637)
NEA	2580001	12	7060	12	12	NEA (N=637)
NEA	2590001	6	5256	6	6	NEA (N=637)
NEA	2600001	1	5053	1	1	NEA (N=637)
NEA	2610001	5	6909	5	5	NEA (N=637)
NEA	2620001	4	6257	4	4	NEA (N=637)
NEA	2630001	0	4833	0	0	NEA (N=637)
NEA	2640001	0	6444	0	0	NEA (N=637)
NEA	2650001	0	6207	0	0	NEA (N=637)
NEA	2660001	0	5017	0	0	NEA (N=637)
NEA	2670001	2	5512	2	2	NEA (N=637)
NEA	2680001	4	5167	4	4	NEA (N=637)
NEA	2690001	2	6969	2	2	NEA (N=637)
NEA	2700001	1	7103	1	1	NEA (N=637)
NEA	2710001	1	6676	1	1	NEA (N=637)
NEA	2720001	5	5870	5	5	NEA (N=637)
NEA	2730001	5	5324	5	5	NEA (N=637)
NEA	2740001	5	4534	5	5	NEA (N=637)
DEN	250001	1	3973	1	1	DEN (N=704)
DEN	260001	1	3355	1	1	DEN (N=704)
DEN	270001	8	3069	8	8	DEN (N=704)
DEN	280001	10	4355	10	10	DEN (N=704)
DEN	290001	2	2795	2	2	DEN (N=704)
DEN	300001	4	4113	4	4	DEN (N=704)
DEN	330001	3	6707	3	3	DEN (N=704)
DEN	340001	5	5908	5	5	DEN (N=704)
DEN	350001	42	7397	42	42	DEN (N=704)
DEN	360001	27	4916	27	27	DEN (N=704)
DEN	370001	23	6528	23	23	DEN (N=704)
DEN	380001	17	5351	17	17	DEN (N=704)
DEN	390001	7	3763	7	7	DEN (N=704)
DEN	400001	0	3650	0	0	DEN (N=704)
DEN	410001	3	3727	3	3	DEN (N=704)
DEN	420001	5	3517	5	5	DEN (N=704)
DEN	430001	8	4524	8	8	DEN (N=704)
DEN	440001	1	4792	1	1	DEN (N=704)
DEN	450001	13	3883	13	13	DEN (N=704)
DEN	460001	1	4798	1	1	DEN (N=704)
DEN	470001	9	4638	9	9	DEN (N=704)
DEN	480001	8	4431	8	8	DEN (N=704)
DEN	490001	0	4276	0	0	DEN (N=704)
DEN	500001	4	4025	4	4	DEN (N=704)
DEN	510001	2	3169	2	2	DEN (N=704)
DEN	520001	2	2759	2	2	DEN (N=704)
DEN	530001	5	3717	5	5	DEN (N=704)
DEN	540001	1	4292	1	1	DEN (N=704)
DEN	550001	4	3952	4	4	DEN (N=704)
DEN	560001	21	4939	21	21	DEN (N=704)
DEN	570001	11	6644	11	11	DEN (N=704)
DEN	580001	2	4055	2	2	DEN (N=704)
DEN	590001	2	4722	2	2	DEN (N=704)
DEN	600001	0	4174	0	0	DEN (N=704)
DEN	610001	4	5365	4	4	DEN (N=704)
DEN	620001	4	4785	4	4	DEN (N=704)
DEN	630001	6	7991	6	6	DEN (N=704)
DEN	640001	0	4895	0	0	DEN (N=704)
DEN	650001	0	4382	0	0	DEN (N=704)
DEN	660001	3	3899	3	3	DEN (N=704)
DEN	670001	2	4654	2	2	DEN (N=704)
DEN	680001	9	4346	9	9	DEN (N=704)
DEN	690001	0	4235	0	0	DEN (N=704)
DEN	700001	0	5241	0	0	DEN (N=704)
DEN	710001	0	5303	0	0	DEN (N=704)
DEN	720001	1	5100	1	1	DEN (N=704)
DEN	730001	2	4935	2	2	DEN (N=704)
DEN	740001	4	3545	4	4	DEN (N=704)
DEN	750001	1	4907	1	1	DEN (N=704)
DEN	760001	0	3480	0	0	DEN (N=704)
DEN	770001	0	5788	0	0	DEN (N=704)
DEN	780001	1	3713	1	1	DEN (N=704)
DEN	790001	1	4615	1	1	DEN (N=704)
DEN	800001	5	4619	5	5	DEN (N=704)
DEN	810001	7	4389	7	7	DEN (N=704)
DEN	820001	1	4899	1	1	DEN (N=704)
DEN	830001	0	2667	0	0	DEN (N=704)
DEN	850001	5	4120	5	5	DEN (N=704)
DEN	860001	3	4815	3	3	DEN (N=704)
DEN	870001	2	4272	2	2	DEN (N=704)
DEN	880001	3	4083	3	3	DEN (N=704)
DEN	890001	12	3166	12	12	DEN (N=704)
DEN	920001	8	3799	8	8	DEN (N=704)
DEN	930001	9	4207	9	9	DEN (N=704)
DEN	940001	0	3942	0	0	DEN (N=704)
DEN	950001	2	5561	2	2	DEN (N=704)
DEN	960001	1	4438	1	1	DEN (N=704)
DEN	970001	9	4492	9	9	DEN (N=704)
DEN	980001	3	3895	3	3	DEN (N=704)
DEN	990001	1	3721	1	1	DEN (N=704)
DEN	1000001	0	3739	0	0	DEN (N=704)
DEN	1010001	0	3127	0	0	DEN (N=704)
DEN	1020001	2	3936	2	2	DEN (N=704)
DEN	1030001	2	4502	2	2	DEN (N=704)
DEN	1040001	0	5009	0	0	DEN (N=704)
DEN	1050001	4	3473	4	4	DEN (N=704)
DEN	1060001	4	3776	4	4	DEN (N=704)
DEN	1110001	9	5005	9	9	DEN (N=704)
DEN	1120001	4	5228	4	4	DEN (N=704)
DEN	1130001	8	4502	8	8	DEN (N=704)
DEN	1140001	1	2872	1	1	DEN (N=704)
DEN	1150001	10	3461	10	10	DEN (N=704)
DEN	1200001	2	3827	2	2	DEN (N=704)
DEN	1210001	4	3533	4	4	DEN (N=704)
DEN	1220001	4	4132	4	4	DEN (N=704)
DEN	1240001	4	3057	4	4	DEN (N=704)
DEN	1250001	4	2712	4	4	DEN (N=704)
DEN	1260001	12	2941	12	12	DEN (N=704)
DEN	1280001	7	3180	7	7	DEN (N=704)
DEN	1290001	10	2781	10	10	DEN (N=704)
DEN	1300001	4	4237	4	4	DEN (N=704)
DEN	1310001	5	3148	5	5	DEN (N=704)
DEN	1320001	0	3061	0	0	DEN (N=704)
DEN	1330001	5	2661	5	5	DEN (N=704)
DEN	1340001	0	3116	0	0	DEN (N=704)
DEN	1350001	17	4623	17	17	DEN (N=704)
DEN	1380001	0	4528	0	0	DEN (N=704)
DEN	1390001	3	5766	3	3	DEN (N=704)
DEN	1400001	0	2969	0	0	DEN (N=704)
DEN	1410001	14	5715	14	14	DEN (N=704)
DEN	1420001	6	5067	6	6	DEN (N=704)
DEN	1430001	8	5165	8	8	DEN (N=704)
DEN	1440001	11	3641	11	11	DEN (N=704)
DEN	1450001	9	3677	9	9	DEN (N=704)
DEN	1460001	6	5531	6	6	DEN (N=704)
DEN	1470001	4	4644	4	4	DEN (N=704)
DEN	1480001	0	5245	0	0	DEN (N=704)
DEN	1490001	1	4208	1	1	DEN (N=704)
DEN	1500001	0	4251	0	0	DEN (N=704)
DEN	1510001	0	3822	0	0	DEN (N=704)
DEN	1520001	8	4978	8	8	DEN (N=704)
DEN	1530001	7	4299	7	7	DEN (N=704)
DEN	1540001	1	4058	1	1	DEN (N=704)
DEN	1550001	0	3724	0	0	DEN (N=704)
DEN	1560001	0	3297	0	0	DEN (N=704)
DEN	1570001	1	4381	1	1	DEN (N=704)
DEN	1580001	0	2916	0	0	DEN (N=704)
DEN	1590001	2	8014	2	2	DEN (N=704)
DEN	1600001	0	5568	0	0	DEN (N=704)
DEN	1610001	2	3128	2	2	DEN (N=704)
DEN	1620001	0	3352	0	0	DEN (N=704)
DEN	1630001	0	2626	0	0	DEN (N=704)
DEN	1640001	6	4300	6	6	DEN (N=704)
DEN	1650001	3	3174	3	3	DEN (N=704)
DEN	1660001	5	4067	5	5	DEN (N=704)
DEN	1670001	0	3973	0	0	DEN (N=704)
DEN	1680001	0	2921	0	0	DEN (N=704)
DEN	1710001	0	4886	0	0	DEN (N=704)
DEN	1720001	8	4083	8	8	DEN (N=704)
DEN	1730001	1	3024	1	1	DEN (N=704)
DEN	1740001	1	4911	1	1	DEN (N=704)
DEN	1750001	0	6826	0	0	DEN (N=704)
DEN	1760001	3	3225	3	3	DEN (N=704)
DEN	1770001	0	4425	0	0	DEN (N=704)
DEN	1780001	7	6337	7	7	DEN (N=704)
DEN	1790001	10	5420	10	10	DEN (N=704)
DEN	1800001	3	4643	3	3	DEN (N=704)
DEN	1810001	0	2710	0	0	DEN (N=704)
DEN	1820001	5	3402	5	5	DEN (N=704)
DEN	1830001	1	4599	1	1	DEN (N=704)
DEN	1840001	0	3249	0	0	DEN (N=704)
DEN	1850001	0	3847	0	0	DEN (N=704)
DEN	1860001	0	4246	0	0	DEN (N=704)
DEN	1870001	0	4131	0	0	DEN (N=704)
DEN	1880001	0	4701	0	0	DEN (N=704)
DEN	1890001	0	4149	0	0	DEN (N=704)
DEN	1900001	0	4957	0	0	DEN (N=704)
DEN	1910001	12	4228	12	12	DEN (N=704)
DEN	1920001	6	3844	6	6	DEN (N=704)
DEN	1930001	4	5090	4	4	DEN (N=704)
DEN	2210001	0	4506	0	0	DEN (N=704)
DEN	2220001	0	7111	0	0	DEN (N=704)
DEN	2230001	0	5709	0	0	DEN (N=704)
DEN	2240001	2	4156	2	2	DEN (N=704)
DEN	2250001	0	4099	0	0	DEN (N=704)
DEN	2260001	0	5211	0	0	DEN (N=704)
DEN	2270001	1	3578	1	1	DEN (N=704)
DEN	2280001	0	5166	0	0	DEN (N=704)
DEN	2290001	0	5304	0	0	DEN (N=704)
DEN	2300001	1	4211	1	1	DEN (N=704)
DEN	2310001	0	4261	0	0	DEN (N=704)
DEN	2320001	1	4939	1	1	DEN (N=704)
DEN	2330001	1	4483	1	1	DEN (N=704)
DEN	2340001	3	5617	3	3	DEN (N=704)
DEN	2350001	0	4617	0	0	DEN (N=704)
DEN	2360001	1	4667	1	1	DEN (N=704)
DEN	2370001	6	4661	6	6	DEN (N=704)
DEN	2380001	2	5224	2	2	DEN (N=704)
DEN	2390001	5	5689	5	5	DEN (N=704)
DEN	2400001	0	5500	0	0	DEN (N=704)
DEN	2410001	0	6486	0	0	DEN (N=704)
DEN	2420001	1	5397	1	1	DEN (N=704)
DEN	2430001	1	3692	1	1	DEN (N=704)
DEN	2440001	1	3902	1	1	DEN (N=704)
DEN	2480001	1	5031	1	1	DEN (N=704)
DEN	2490001	0	6847	0	0	DEN (N=704)
DEN	2500001	3	5483	3	3	DEN (N=704)
DEN	2510001	0	3495	0	0	DEN (N=704)
DEN	2520001	0	4849	0	0	DEN (N=704)
DEN	2530001	0	4766	0	0	DEN (N=704)
DEN	2540001	1	3925	1	1	DEN (N=704)
DEN	2550001	0	5412	0	0	DEN (N=704)
DEN	2560001	0	6112	0	0	DEN (N=704)
DEN	2570001	3	5788	3	3	DEN (N=704)
DEN	2580001	0	7024	0	0	DEN (N=704)
DEN	2590001	0	5256	0	0	DEN (N=704)
DEN	2600001	1	5057	1	1	DEN (N=704)
DEN	2610001	1	6902	1	1	DEN (N=704)
DEN	2620001	6	6257	6	6	DEN (N=704)
DEN	2630001	1	4834	1	1	DEN (N=704)
DEN	2640001	2	6446	2	2	DEN (N=704)
DEN	2650001	0	6211	0	0	DEN (N=704)
DEN	2660001	3	5017	3	3	DEN (N=704)
DEN	2670001	0	5512	0	0	DEN (N=704)
DEN	2680001	2	5167	2	2	DEN (N=704)
DEN	2690001	2	6964	2	2	DEN (N=704)
DEN	2700001	2	7106	2	2	DEN (N=704)
DEN	2710001	3	6673	3	3	DEN (N=704)
DEN	2720001	4	5870	4	4	DEN (N=704)
DEN	2730001	1	5324	1	1	DEN (N=704)
DEN	2740001	1	4529	1	1	DEN (N=704)
